ID	CD_PERIMETRO
020210808	0200556
020210809	0200557
020210810	0200558
020210901	0200559
020210902	0200560
020210903	0200561
020210904	0200562
020210905	0200563
020210906	0200564
020210907	0200565
020210908	0200566
020210909	0200567
020210910	0200568
020211001	0200569
020211002	0200570
020211003	0200571
020211004	0200572
020211005	0200573
020211006	0200574
020211009	0200574
020211007	0200575
020211008	0200576
020211101	0200577
020211102	0200578
020211103	0200579
020211104	0200580
020211105	0200581
020211106	0200582
020211107	0200583
020211108	0200584
020211201	0200585
020211202	0200586
020211203	0200587
020211204	0200588
020211205	0200589
020211206	0200590
020211207	0200591
020211208	0200592
020211209	0200593
020211210	0200594
020211301	0200595
020211302	0200596
020211303	0200597
020211304	0200598
020211305	0200599
020211306	0200600
020211307	0200601
020211308	0200602
020211309	0200603
020211310	0200604
020211311	0200605
020211401	0200606
020211402	0200607
020211403	0200608
020211404	0200609
020211405	0200610
020211406	0200611
020211407	0200612
020211408	0200613
020211409	0200614
020211501	0200615
020211502	0200616
020211503	0200617
020211504	0200618
020211505	0200619
020211506	0200620
020211507	0200621
020211508	0200622
020211509	0200623
020211601	0200624
020211602	0200625
020211603	0200626
020211604	0200627
020211605	0200628
020211606	0200629
020211607	0200630
020211608	0200631
020211609	0200632
020211701	0200633
020211702	0200634
020211703	0200635
020211704	0200636
020211705	0200637
020211706	0200638
020211707	0200639
020211708	0200640
020211709	0200641
020211801	0200642
020211802	0200643
020211803	0200644
020211804	0200645
020211805	0200646
020211806	0200647
020211807	0200648
020211808	0200649
020211809	0200650
020211810	0200651
020211811	0200652
020211901	0200653
020211902	0200654
020211903	0200655
020211904	0200656
020211905	0200657
020211906	0200658
020211907	0200659
020211908	0200660
020211909	0200661
020211910	0200662
020212001	0200663
020212002	0200664
020212003	0200665
020212004	0200666
020212005	0200667
020212006	0200668
020212007	0200669
020212008	0200670
020212009	0200671
020212010	0200672
020212011	0200673
020212101	0200674
020212102	0200675
020212103	0200676
020212104	0200677
020212105	0200678
020212106	0200679
020212107	0200680
020212108	0200681
020212109	0200682
020212110	0200683
020212201	0200684
020212202	0200685
020212203	0200686
020212204	0200687
020212205	0200688
020212206	0200689
020212207	0200690
020212208	0200691
020212209	0200692
020212301	0200693
020212302	0200694
020212303	0200695
020212304	0200696
020212305	0200697
020212306	0200698
020212307	0200699
020212308	0200700
020212309	0200701
020212310	0200702
020212401	0200703
020212402	0200704
020212403	0200705
020212404	0200706
020212405	0200707
020212406	0200708
020212407	0200709
020212408	0200710
020212409	0200711
020212501	0200712
020212510	0200712
020212502	0200713
020212503	0200714
020212504	0200715
020212505	0200716
020212506	0200717
020212507	0200718
020212508	0200719
020212509	0200720
020212601	0200721
020212602	0200722
020212603	0200723
020212604	0200724
020212605	0200725
020212606	0200726
020212607	0200727
020212608	0200728
020212609	0200729
020212701	0200730
020212702	0200731
020212703	0200732
020212704	0200733
020212705	0200734
020212706	0200735
020212707	0200736
020280101	0200737
020280102	0200738
020280103	0200739
020280104	0200740
020280105	0200741
020280106	0200742
020280107	0200743
020280108	0200744
020280109	0200745
020280110	0200746
020280111	0200747
020280112	0200748
020280113	0200749
020280114	0200750
020280201	0200751
020280202	0200752
020280203	0200753
020280204	0200754
020280205	0200755
020280206	0200756
020280207	0200757
020280208	0200758
020280209	0200759
020280210	0200760
020280301	0200761
020280302	0200762
020280303	0200763
020280304	0200764
020280305	0200765
020280306	0200766
020280307	0200767
020280308	0200768
020280309	0200769
020280310	0200770
020280311	0200771
020280312	0200772
020280313	0200773
020280401	0200774
020280402	0200775
020280403	0200776
020280404	0200777
020280405	0200778
020280406	0200779
020280407	0200780
020280408	0200781
020280409	0200782
020280410	0200783
020280411	0200784
020280501	0200785
020280502	0200786
020280503	0200787
020280504	0200788
020280505	0200789
020280506	0200790
020280507	0200791
020280508	0200792
020280512	0200793
020280509	0200793
020280510	0200794
020280511	0200795
020280612	0200796
020280601	0200796
020280602	0200797
020280603	0200798
020280604	0200799
020280605	0200800
020280606	0200801
020280607	0200802
020280608	0200803
020280609	0200804
020280610	0200805
020280611	0200806
020280701	0200807
020280702	0200808
020280703	0200809
020280704	0200810
020280705	0200811
020280706	0200812
020280707	0200813
020280708	0200814
020280709	0200815
020280710	0200816
020280711	0200817
020280712	0200818
020280801	0200819
020280802	0200820
020280803	0200821
020280804	0200822
020280805	0200823
020280806	0200824
020280812	0200825
020280807	0200825
020280808	0200826
020280809	0200827
020280810	0200828
020280811	0200829
020280901	0200830
020280902	0200831
020280903	0200832
020280904	0200833
020280905	0200834
020280906	0200835
020280907	0200836
020282703	0200837
020282701	0200837
020282707	0200837
020282706	0200837
020282702	0200837
020282705	0200837
020282704	0200837
020281001	0200837
020281002	0200838
020281006	0200838
020281003	0200839
020281007	0200839
020281008	0200840
020281004	0200840
020281009	0200841
020281005	0200841
020282801	0200842
020282802	0200842
020282804	0200843
020282803	0200843
020282805	0200844
020282808	0200844
020282807	0200844
020282806	0200844
020282810	0200845
020282809	0200845
020282811	0200845
020281101	0200846
020281102	0200847
020281103	0200848
020281104	0200849
020281105	0200850
020281106	0200851
020281107	0200852
020281108	0200853
020281109	0200854
020281201	0200855
020281202	0200856
020281203	0200857
020281204	0200858
020281205	0200859
020281206	0200860
020281207	0200861
020281208	0200862
020281209	0200863
020281210	0200864
020281211	0200865
020281212	0200866
020281301	0200867
020281302	0200868
020281303	0200869
020281304	0200870
020281305	0200871
020281306	0200872
020281307	0200873
020281308	0200874
020281309	0200875
020281310	0200876
020281311	0200877
020281401	0200878
020281402	0200879
020281403	0200880
020281404	0200881
020281405	0200882
020281406	0200883
020281407	0200884
020281408	0200885
020281409	0200886
020281501	0200887
020281502	0200888
020281503	0200889
020281504	0200890
020281505	0200891
020281506	0200892
020281507	0200893
020281508	0200894
020281509	0200895
020281510	0200896
020281601	0200897
020281602	0200898
020281603	0200899
020281604	0200900
020281605	0200901
020281606	0200902
020281607	0200903
020281608	0200904
020281609	0200905
020281610	0200906
020281701	0200907
020281702	0200908
020281703	0200909
020281704	0200910
020281705	0200911
020281706	0200912
020281707	0200913
020281708	0200914
020281709	0200915
020281710	0200916
020281801	0200917
020281901	0200918
020281902	0200919
020281903	0200920
020281904	0200921
020281905	0200922
020281906	0200923
020281907	0200924
020281908	0200925
020281911	0200925
020281909	0200926
020281910	0200927
020282001	0200928
020282002	0200929
020282003	0200930
020282004	0200931
020282005	0200932
020282006	0200933
020282007	0200934
020282008	0200935
020282009	0200936
020282010	0200937
020282011	0200938
020282012	0200939
020282113	0200940
020282101	0200940
020282102	0200941
020282103	0200942
020282104	0200943
020282105	0200944
020282106	0200945
020282107	0200946
020282108	0200947
020282109	0200948
020282110	0200949
020282111	0200950
020282112	0200951
020282201	0200952
020282202	0200953
020282203	0200954
020282204	0200955
020282205	0200956
020282206	0200957
020282207	0200958
020282208	0200959
020282209	0200960
020282210	0200961
020282211	0200962
020282212	0200963
020282301	0200964
020282302	0200965
020282303	0200966
020282304	0200967
020282305	0200968
020282306	0200969
020282307	0200970
020282308	0200971
020282309	0200972
020282310	0200973
020282311	0200974
020282312	0200975
020282401	0200976
020282406	0200976
020282402	0200977
020282404	0200977
020282405	0200977
020282403	0200977
020282407	0200978
020282408	0200978
020282409	0200978
020282904	0200979
020282905	0200979
020282906	0200979
020282903	0200979
020282901	0200980
020282902	0200980
020282907	0200981
020282908	0200981
020282505	0200982
020282506	0200982
020282507	0200982
020282501	0200982
020282508	0200983
020282502	0200983
020282503	0200984
020282511	0200984
020282512	0200984
020282504	0200985
020282510	0200985
020282509	0200985
020282601	0200986
020282602	0200987
020282603	0200988
020350101	0200989
020350102	0200990
020350103	0200991
020350104	0200992
020350111	0200992
020350112	0200993
020350105	0200993
020350106	0200994
020350107	0200995
020350108	0200996
020350109	0200997
020350110	0200998
020350201	0200999
020350202	0201000
020350203	0201001
020350204	0201002
020350205	0201003
020350206	0201004
020350207	0201005
020350208	0201006
020350209	0201007
020350210	0201008
020350211	0201009
020350301	0201010
020350313	0201011
020350312	0201011
020350302	0201011
020350303	0201012
020350304	0201013
020350305	0201014
020350306	0201015
020350307	0201016
020350308	0201017
020350309	0201018
020350310	0201019
020350311	0201020
020350401	0201021
020350402	0201022
020350403	0201023
020350404	0201024
020350405	0201025
020350406	0201026
020350407	0201027
020350408	0201028
020350409	0201029
020350501	0201030
020350502	0201031
020350503	0201032
020350504	0201033
020350505	0201034
020350506	0201035
020350507	0201036
020350508	0201037
020350601	0201038
020350602	0201039
020350603	0201040
020350604	0201041
020350605	0201042
020350606	0201043
020350607	0201044
020350608	0201045
020350701	0201046
020350702	0201047
020350703	0201048
020350704	0201049
020350705	0201050
020350706	0201051
020350707	0201052
020350708	0201053
020350801	0201054
020350802	0201055
020350803	0201056
020350804	0201057
020350805	0201058
020350806	0201059
020350807	0201060
020350808	0201061
020350809	0201062
020350901	0201063
020350902	0201064
020350903	0201065
020350904	0201066
020350905	0201067
020350906	0201068
020350907	0201069
020350908	0201070
020350909	0201071
020350910	0201072
020351001	0201073
020351002	0201074
020351003	0201075
020351004	0201076
020351005	0201077
020351006	0201078
020351007	0201079
020351008	0201080
020351009	0201081
020351010	0201082
020351101	0201083
020351111	0201083
020351102	0201084
020351103	0201085
020351104	0201086
020351105	0201087
020351106	0201088
020351107	0201089
020351108	0201090
020351109	0201091
020351110	0201092
020351201	0201093
020351202	0201094
020351203	0201095
020351204	0201096
020351205	0201097
020351206	0201098
020351207	0201099
020351301	0201100
020351302	0201101
020351303	0201102
020351304	0201103
