COD_2010,COD_2022
"020030106","020210106"
"020030107","020210107"
"020030108","020210108"
"020030109","020210109"
"020030110","020210110"
"020030111","020210111"
"020030201","020210201"
"020030202","020210202"
"020030203","020210203"
"020030204","020210204"
"020030205","020210205"
"020030206","020210206"
"020030207","020210207"
"020030208","020210208"
"020030209","020210209"
"020030210","020210210"
"020030211","020210211"
"020030212","020210212"
"020030301","020210301"
"020030302","020210302"
"020030303","020210303"
"020030304","020210304"
"020030305","020210305"
"020030306","020210306"
"020030307","020210307"
"020030308","020210308"
"020030309","020210309"
"020030310","020210310"
"020030311","020210311"
"020030401","020210401"
"020030402","020210402"
"020030403","020210403"
"020030404","020210404"
"020030405","020210405"
"020030406","020210406"
"020030407","020210407"
"020030408","020210408"
"020030501","020210501"
"020030502","020210502"
"020030503","020210503"
"020030504","020210504"
"020030505","020210505"
"020030506","020210506"
"020030507","020210507"
"020030601","020210601"
"020030602","020210602"
"020030603","020210603"
"020030604","020210604"
"020030605","020210605"
"020030606","020210606"
"020030607","020210607"
"020030701","020210701"
"020030702","020210702"
"020030703","020210703"
"020030704","020210704"
"020030705","020210705"
"020030706","020210706"
"020030707","020210707"
"020030708","020210708"
"020030709","020210709"
"020030801","020210801"
"020030802","020210802"
"020030803","020210803"
"020030804","020210804"
"020030805","020210805"
"020030806","020210806"
"020030807","020210807"
"020030808","020210808"
"020030809","020210809"
"020030810","020210810"
"020030901","020210901"
"020030902","020210902"
"020030903","020210903"
"020030904","020210904"
"020030905","020210905"
"020030906","020210906"
"020030907","020210907"
"020030908","020210908"
"020030909","020210909"
"020030910","020210910"
"020031001","020211001"
"020031002","020211002"
"020031003","020211003"
"020031004","020211004"
"020031005","020211005"
"020031006","020211006"
"020031006","020211009"
"020031007","020211007"
"020031008","020211008"
"020031101","020211101"
"020031102","020211102"
"020031103","020211103"
"020031104","020211104"
"020031105","020211105"
"020031106","020211106"
"020031107","020211107"
"020031108","020211108"
"020031201","020211201"
"020031202","020211202"
"020031203","020211203"
"020031204","020211204"
"020031205","020211205"
"020031206","020211206"
"020031207","020211207"
"020031208","020211208"
"020031209","020211209"
"020031210","020211210"
"020031301","020211301"
"020031302","020211302"
"020031303","020211303"
"020031304","020211304"
"020031305","020211305"
"020031306","020211306"
"020031307","020211307"
